INFO 2013-01-10 15:59:57,540 main 827 ...simulated 175000 single reads.
INFO 2013-01-10 16:00:07,912 main 827 ...simulated 180000 single reads.
INFO 2013-01-10 16:00:18,272 main 827 ...simulated 185000 single reads.
INFO 2013-01-10 16:00:28,667 main 827 ...simulated 190000 single reads.
INFO 2013-01-10 16:00:39,050 main 827 ...simulated 195000 single reads.
INFO 2013-01-10 16:00:49,434 main 827 ...simulated 200000 single reads.
INFO 2013-01-10 16:00:59,811 main 827 ...simulated 205000 single reads.
INFO 2013-01-10 16:01:10,238 main 827 ...simulated 210000 single reads.
INFO 2013-01-10 16:01:20,654 main 827 ...simulated 215000 single reads.
INFO 2013-01-10 16:01:31,121 main 827 ...simulated 220000 single reads.
INFO 2013-01-10 16:01:41,491 main 827 ...simulated 225000 single reads.
INFO 2013-01-10 16:01:51,845 main 827 ...simulated 230000 single reads.
INFO 2013-01-10 16:02:02,207 main 827 ...simulated 235000 single reads.
INFO 2013-01-10 16:02:12,571 main 827 ...simulated 240000 single reads.
INFO 2013-01-10 16:02:22,952 main 827 ...simulated 245000 single reads.
INFO 2013-01-10 16:02:33,327 main 827 ...simulated 250000 single reads.
INFO 2013-01-10 16:02:43,725 main 827 ...simulated 255000 single reads.
INFO 2013-01-10 16:02:54,071 main 827 ...simulated 260000 single reads.
INFO 2013-01-10 16:03:04,422 main 827 ...simulated 265000 single reads.
INFO 2013-01-10 16:03:14,771 main 827 ...simulated 270000 single reads.
INFO 2013-01-10 16:03:25,118 main 827 ...simulated 275000 single reads.
INFO 2013-01-10 16:03:35,491 main 827 ...simulated 280000 single reads.
INFO 2013-01-10 16:03:45,942 main 827 ...simulated 285000 single reads.
INFO 2013-01-10 16:03:56,327 main 827 ...simulated 290000 single reads.
INFO 2013-01-10 16:04:06,710 main 827 ...simulated 295000 single reads.
INFO 2013-01-10 16:04:17,105 main 827 ...simulated 300000 single reads.
INFO 2013-01-10 16:04:27,471 main 827 ...simulated 305000 single reads.
INFO 2013-01-10 16:04:37,817 main 827 ...simulated 310000 single reads.
INFO 2013-01-10 16:04:48,189 main 827 ...simulated 315000 single reads.
INFO 2013-01-10 16:04:58,559 main 827 ...simulated 320000 single reads.
INFO 2013-01-10 16:05:08,904 main 827 ...simulated 325000 single reads.
INFO 2013-01-10 16:05:19,246 main 827 ...simulated 330000 single reads.
INFO 2013-01-10 16:05:29,629 main 827 ...simulated 335000 single reads.
INFO 2013-01-10 16:05:40,000 main 827 ...simulated 340000 single reads.
INFO 2013-01-10 16:05:50,341 main 827 ...simulated 345000 single reads.
INFO 2013-01-10 16:06:00,688 main 827 ...simulated 350000 single reads.
INFO 2013-01-10 16:06:11,040 main 827 ...simulated 355000 single reads.
INFO 2013-01-10 16:06:21,392 main 827 ...simulated 360000 single reads.
INFO 2013-01-10 16:06:31,757 main 827 ...simulated 365000 single reads.
INFO 2013-01-10 16:06:42,110 main 827 ...simulated 370000 single reads.
